STATE,YEAR,NAME,TOPIC,TOPIC #2,Title,RELEVANT TEXT,DESCRIPTION,URL
Alabama,2012,Ala. Code 37-2A-2,Definition - Broadband,Speed 1,Definitions.,"(2) BROADBAND SERVICE or BROADBAND ENABLED SERVICE. Any service that consists of or includes a high-speed access capability to transmit at a rate that is not less than 200 kilobits per second either in the upstream or downstream direction, and either of the following: a. Provides computer processing, information storage, information content or protocol conversion, including any service applications or information service provided over such high-speed access service. b. Is used to provide access to the Internet.",Defines broadband service as any service that provides access to the internet at either a download or upload speed of at least 200 kbps.  ,http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/37-2A-2.htm 
Alabama,2014,Ala. Code 37-2A-4,Regulatory Authority,,Jurisdiction of the Public Service Commission.,"(a) Notwithstanding any provision of law to the contrary, the commission shall not have any jurisdiction, right, power, authority, or duty to regulate, supervise, control, oversee, or monitor, directly or indirectly, the rates, charges, classifications, provision, or any aspect of broadband service, broadband enabled services, VoIP services, or information services.",States the Public Service Commission does not have any jurisdiction over broadband service.,http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/37-2A-4.htm 
Alabama,2000,Ala. Code 23-1-294,Other,,Advisory Council.,"(7) Recommending operation and management standards for highways designated as scenic byways, including strategies for maintaining or improving the qualities for which a highway is designated as a scenic byway, and for protecting and enhancing the landscape and view corridors within the public rights-of-way surrounding such a highway, provided that such standards shall have no impact on the facilities or equipment used in the generation, transmission, or distribution of electric power, telecommunications, commercial mobile radio services, broadband services, or existing wireless facilities. However, all new wireless services structures, unless used primarily for educational purposes, shall be reviewed under the terms of this article and shall consider the communication needs of the community and shall not be in conflict with any local, state, and federal laws and regulations.","Addresses responsibilities of the scenic byways Advisory Committee.  Includes ensuring that the scenic byway standards will not impact utility infrastructure, including facilities and equipment for providing broadband services. Allows new wireless structures to be reviewed under the terms of this article.",http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/23-1-294.htm 
Alabama,2016,Ala. Code 16-16B-2.1,SP - Other,,Wireless infrastructure and mobile digital computing devices; application for funds; implementation plan.,"(a)(1) Contingent on funding, during the 2016-2017 school year, local school systems may begin installing sufficient, high-quality standards-based broadband WiFi infrastructure and, where possible, mobile digital devices to enable access to digital instructional materials and, to the extent practicable, textbooks in electronic format. (2) In order to accomplish subdivision (1), the following priorities are established: a. Wireless infrastructure: The first priority for the expenditure of Alabama Ahead Act funds is the establishment of a high-quality, standards-based wireless local area network (WLAN) infrastructure capable of providing all teachers and students with sufficient WiFi broadband access in all classrooms and common areas of schools, where feasible as described in WIRED. b. Standards: Local school systems shall use applicable funds to install wireless networks or upgrade existing networks to satisfy Alabama Educational Technology Association (AET) standards that include high-quality, enterprise level networking equipment. Each regular classroom shall be equipped with high-quality wireless access for 30 to 40 devices simultaneously. Each specialty classroom, that routinely serves groups of less than 20 people, may satisfy a lesser standard. Each cafeteria shall have sufficient wireless access for one-third of the then current enrollment of the school. Each library media center shall be equipped with high quality wireless access for at minimum one-third of the capacity of the library media center. Each administrative and noninstructional area of a school shall have coverage, however, high density coverage is not required in these areas.","Address the establishment of high-quality, standards-based wireless local areas network infrastructure to provide WiFi broadband access in classrooms and common areas of schools to enable the use of digital instructional materials and electronic text books. Defines requirements for classroom and common area access.",http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/16-16B-2.1.htm
Alabama,2000,Ala. Code 11-50B-1 et seq. ,Municipal Broadband,,Municipal Telecommunications Services,"It is hereby declared to be the public policy of this state to encourage the development of advanced telecommunications capabilities, cable, interactive computer, and Internet facilities and services to better serve the public and further industrial economic development in this state. It is necessary for growth, job opportunities, and sustained economic development to encourage new investment in advanced telecommunications capabilities, cable, interactive computer, and Internet facilities, including investment by public providers of these services. Nothing contained herein, however, is intended to exempt, except, or exclude public providers which engage in the provision of advanced telecommunications capability or services, cable, interactive computer, or Internet facilities or services pursuant to the authority granted herein from complying with any provisions of federal law which may at any time apply to the public providers or their facilities or services, including without limitation, to the extent that they apply, any requirement that they interconnect with other telecommunications providers, or that they obtain from the regulatory authorities designated by federal law as being the appropriate bodies from which to obtain any requisite approval, the approval of interconnection agreements with other telecommunications providers.","Establishes state policy to encourage the development of advanced telecommunications capabilities to serve the public and facilitate economic development. Allows public providers to construct and operate systems for internet access or other internet services to the inhabitants of the municipality and police jurisdiction and any area where the municipality provides utility service. Also allows the lease of municipal systems to private providers. Addresses requirements and limitations of municipal systems, including that capital and operating expenditures cannot be paid with revenues from state or local taxes or with state or local appropriations. ",http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/11-50B-1.htm
Alabama,2000,Ala. Code 11-50B-1 et seq. ,Legislative Intent,,Municipal Telecommunications Services,"It is hereby declared to be the public policy of this state to encourage the development of advanced telecommunications capabilities, cable, interactive computer, and Internet facilities and services to better serve the public and further industrial economic development in this state. It is necessary for growth, job opportunities, and sustained economic development to encourage new investment in advanced telecommunications capabilities, cable, interactive computer, and Internet facilities, including investment by public providers of these services. Nothing contained herein, however, is intended to exempt, except, or exclude public providers which engage in the provision of advanced telecommunications capability or services, cable, interactive computer, or Internet facilities or services pursuant to the authority granted herein from complying with any provisions of federal law which may at any time apply to the public providers or their facilities or services, including without limitation, to the extent that they apply, any requirement that they interconnect with other telecommunications providers, or that they obtain from the regulatory authorities designated by federal law as being the appropriate bodies from which to obtain any requisite approval, the approval of interconnection agreements with other telecommunications providers.","Establishes state policy to encourage the development of advanced telecommunications capabilities to serve the public and facilitate economic development. Allows public providers to construct and operate systems for internet access or other internet services to the inhabitants of the municipality and police jurisdiction and any area where the municipality provides utility service. Also allows the lease of municipal systems to private providers. Addresses requirements and limitations of municipal systems, including that capital and operating expenditures cannot be paid with revenues from state or local taxes or with state or local appropriations. ",http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/11-50B-1.htm
Alabama,2009,Ala. Code. 11-69-1,Rights-of-way,ROW - Other,Adoption and implementation of plan.,"(a) Any Class 7 or 8 municipality in this state may adopt a rural scenic right-of-way plan for the development, improvement, and use of right-of-way along municipal roads and streets and county roads within the corporate limits and police jurisdiction of the municipality except right-of-way, highways, streets, or roads that are under exclusive or concurrent jurisdiction of the Alabama Department of Transportation. Pursuant to the plan, the municipality may designate right-of-way adjacent to a municipal road or street or a county road to be developed, improved, and used for recreational or beautification purposes. Any portion of a road designated shall continue for at least three miles in length and may not at the time of designation have an average density of two or more commercial enterprises that have an entrance or exit on the road per mile. The path of the right-of-way along a street or road included in the plan may cross another street, road, or state highway. The establishment of a rural scenic right-of-way plan and the inclusion of any right-of-way of a county road shall be subject to approval of the county commission where any road included in the plan is located. In addition, any development and improvement within the rights-of-way along any county road shall be approved by the county commission. Any municipality establishing a rural scenic right-of-way plan shall be solely responsible for the development, maintenance, and use of the right-of-way included in the plan. The county shall not be responsible for the development, maintenance, access, or use of any right-of-way included in the plan, and shall not be liable for any damages to property or persons utilizing the right-of-way. A county may contribute financially to the implementation and development of the plan. No municipality or county shall be liable for any damages to any person using any right-of-way that is a part of the plan. (b) Nothing in this section shall in any way limit, restrict, or otherwise impact the ability of any electric supplier to maintain, repair, expand, construct, reconstruct, or relocate any facility or equipment used in the generation, transmission, or distribution of electric power or any communication service provider to maintain, repair, expand, construct, reconstruct, or relocate facilities or equipment for telecommunications, commercial mobile radio services, broadband services, or other wireless services within the public rights-of-way along, adjacent to, or surrounding any road, street, or highway included within this section; nor shall the placement of any such facilities or equipment be subject to approval by a county commission. No electric supplier or communication services provider shall be subject to increased liability resulting from the adoption by any county or municipality of a rural scenic right-of-way plan.","Allows Class 7 or 8 municipalities to adopt scenic right-of-way plans to designate roads or streets for development or improvement for beautification purposes. Cannot limit the ability of a communications provider to construct or maintain services, including broadband and wireless services, within the public rights-or-way.  Does not allow review by county commissions from placement of communications facilities and equipment within designated rights-of-way.  ",http://alisondb.legislature.state.al.us/alison/codeofalabama/1975/11-69-1.htm 
Alabama,2018,Ala. Act 2018 - 395,Definition - Unserved,,Alabama Broadband Accessibility Act,"(4) UNSERVED AREA. Any rural area in which there is not at least one provider of terrestrial broadband service that is either: (1) offering a connection to the Internet meeting the minimum service threshold; or (2) is required, under the terms of the Federal Universal Service Fund or other federal or state grant, to provide a connection to the internet at speeds meeting the minimum service threshold within five years of the effective date of this act.",Defines unserved area as a rural area that isnot served by at least one provider or terrestrial broadband that either meet the minimum service threshold or is required to provide a connection meeting the minimum speed threshold through the Universal Service Fund or another federal or state grant within five years of the effective date of this act.,http://arc-sos.state.al.us/cgi/actdetail.mbr/detail?year=2018&act=%20395&page=subject
Alabama,2018,Ala. Act 2018 - 395,Definition - Broadband,Speed 2,Alabama Broadband Accessibility Act,(2) MINIMUM SERVICE THRESHOLD. A connection to the Internet that provides capacity for transmission at an average speed per customer of at least 10 megabits (10 Mbps) per second downstream and at least one megabits (1 Mbps) per second upstream.,Defines the minimum speed threshold for a broadband connection as 10/1.,http://arc-sos.state.al.us/cgi/actdetail.mbr/detail?year=2018&act=%20395&page=subject
Alabama,2018,Ala. Act 2018 - 395,Fund - Broadband,,Alabama Broadband Accessibility Act,"Section 4. (a) The Director of the ADECA is authorized to establish and administer the broadband accessibility grant program for the purpose of promoting the deployment and adoption of broadband internet access services to unserved areas. Within 90 days of the effective date of this act, the director shall promulgate rules and policies to administer the program and begin to accept applications for grants, and shall promulgate such rules and regulations as may be necessary to meet the future needs of the grant program. (b) The program shall be administered pursuant to policies developed by ADECA in compliance with this act. The policies shall provide for the awarding of grants to non-government entities that are cooperatives, corporations, limited liability companies, partnerships or other private business entities that provide broadband services. Nothing in this chapter shall expand the authority under state law of any entity to provide broadband service. (c) There is hereby created the Alabama Broadband Accessibility Fund in the State Treasury. The fund is subject to appropriations by the legislature and gifts, grants, and other donations received by ADECA for the broadband accessibility grant program or fund. ADECA may not spend appropriations for the program for purposes other than those listed in this section. Any monies appropriated to ADECA for broadband grants that are unspent at the end of a fiscal year shall be carried over for use by the program in the next fiscal year. ADECA shall develop rules ensuring that expenses incurred to administer the program must not exceed three percent (3%) of the total amount appropriated for the program in any fiscal year. Moneys in the fund shall be invested by the State Treasurer for the sole benefit of the fund.","Creates the Alabama Broadband Accessibility Fund in the State Treasury and administered by ADECA to promote broadband deployment and adoption in unserved areas.  The fund is subject to appropriations from the state legislature and the receipt of gifts, grants, or other donations.  Grants awarded cannot exceed the lesser of 20% of project costs or $750,000 for projects that provide speeds of 10/1 or 20% or $1.4million for projects that provide speeds up to 25/3. ",http://arc-sos.state.al.us/cgi/actdetail.mbr/detail?year=2018&act=%20395&page=subject
