price,growth_rate,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,billion metric tons,5.39,5.4,5.41,5.42,5.42,5.43,5.43,5.44,5.44,5.44,5.45,5.45,5.45
5,0,billion metric tons,5.21,5.2,5.19,5.18,5.17,5.17,5.16,5.16,5.15,5.15,5.15,5.14,5.14
5,0.01,billion metric tons,5.21,5.19,5.18,5.17,5.16,5.15,5.14,5.13,5.13,5.12,5.12,5.11,5.1
5,0.02,billion metric tons,5.21,5.19,5.17,5.16,5.15,5.13,5.12,5.11,5.1,5.09,5.08,5.07,5.06
5,0.03,billion metric tons,5.21,5.19,5.17,5.15,5.13,5.12,5.1,5.09,5.07,5.06,5.05,5.03,5.02
5,0.04,billion metric tons,5.21,5.18,5.16,5.14,5.12,5.1,5.08,5.06,5.04,5.02,5.01,4.99,4.97
5,0.05,billion metric tons,5.21,5.18,5.15,5.13,5.1,5.08,5.06,5.03,5.01,4.99,4.96,4.94,4.92
10,0,billion metric tons,5.04,5.02,5,4.98,4.97,4.95,4.94,4.93,4.92,4.91,4.91,4.9,4.89
10,0.01,billion metric tons,5.04,5.02,4.99,4.97,4.95,4.93,4.91,4.9,4.88,4.87,4.86,4.85,4.84
10,0.02,billion metric tons,5.04,5.01,4.98,4.95,4.93,4.9,4.88,4.86,4.84,4.82,4.8,4.79,4.77
10,0.03,billion metric tons,5.05,5.01,4.97,4.94,4.9,4.88,4.85,4.82,4.8,4.77,4.75,4.73,4.7
10,0.04,billion metric tons,5.05,5,4.96,4.92,4.88,4.85,4.81,4.78,4.75,4.72,4.69,4.66,4.63
10,0.05,billion metric tons,5.05,5,4.95,4.9,4.86,4.82,4.78,4.74,4.7,4.66,4.63,4.59,4.55
15,0,billion metric tons,4.9,4.87,4.84,4.81,4.79,4.77,4.76,4.74,4.73,4.72,4.71,4.7,4.69
15,0.01,billion metric tons,4.9,4.86,4.83,4.79,4.77,4.74,4.72,4.7,4.68,4.66,4.64,4.63,4.62
15,0.02,billion metric tons,4.9,4.86,4.81,4.78,4.74,4.71,4.68,4.65,4.63,4.6,4.58,4.56,4.54
15,0.03,billion metric tons,4.9,4.85,4.8,4.76,4.71,4.68,4.64,4.6,4.57,4.54,4.51,4.48,4.45
