price,growth_rate,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0,$ billion (2018),0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,$ billion (2018),26.03230506,25.97750495,25.93046144,25.89006841,25.85538315,25.82560198,25.80003949,25.77811092,25.75931762,25.74323491,25.72950219,25.71781494,25.70791839
5,0.01,$ billion (2018),26.03348105,26.22330454,26.42213494,26.62907489,26.84335853,27.06433271,27.29144106,27.52421027,27.76223888,28.00518785,28.25277314,28.50475976,28.76095732
5,0.02,$ billion (2018),26.03485319,26.46837919,26.91653305,27.37870693,27.85440093,28.343209,28.84480691,29.35894185,29.88542404,30.42411979,30.9749462,31.53786724,32.1128911
5,0.03,$ billion (2018),26.03646358,26.71268955,27.41346602,28.1386596,28.88823288,29.66223458,30.46079076,31.28409764,32.13241581,33.00606578,33.90542495,34.83092589,35.78305593
5,0.04,$ billion (2018),26.03836231,26.95620653,27.91275077,28.90862028,29.94454198,31.02133822,32.13992166,33.30129117,34.50652906,35.75679956,37.05334867,38.39750535,39.79068389
5,0.05,$ billion (2018),26.04060792,27.1989164,28.41422119,29.68828491,31.02300284,32.42040089,33.88263446,35.41198826,37.0108774,38.68184982,40.4275902,42.25092518,44.15483225
10,0,$ billion (2018),50.43521794,50.1984782,49.99235769,49.81272695,49.65604697,49.51928708,49.39985428,49.29552706,49.20440517,49.12485509,49.05548529,48.99509184,48.94265302
10,0.01,$ billion (2018),50.44093344,50.65529969,50.90044451,51.17293543,51.46982275,51.78857887,52.12704002,52.48335498,52.85594185,53.24344951,53.6447271,54.05879732,54.48483515
10,0.02,$ billion (2018),50.44764507,51.11055718,51.81185398,52.54887958,53.31937633,54.12144036,54.95347463,55.8141491,56.70236684,57.61723427,58.55803531,59.52421197,60.51534978
10,0.03,$ billion (2018),50.45553699,51.56431565,52.72636223,53.94003186,55.20401967,56.51732561,57.87922135,59.28921986,60.7470507,62.25263367,63.80606579,65.40760256,67.05765005
10,0.04,$ billion (2018),50.46481376,52.01669067,53.64382132,55.34595156,57.12313646,58.97571859,60.90430413,62.90974283,64.99310732,67.1556784,69.39893725,71.72455307,74.13438251
10,0.05,$ billion (2018),50.47569774,52.46785719,54.5641784,56.76631268,59.07622958,61.49620375,64.02880107,66.67686799,69.4435203,72.33213481,75.34634897,78.49005795,81.76741301
15,0,$ billion (2018),73.50023718,73.00623368,72.57483579,72.19778372,71.86794731,71.57919741,71.32627386,71.10466469,70.91049819,70.74045086,70.59166565,70.46168652,70.34840298
15,0.01,$ billion (2018),73.51511049,73.65230326,73.85024997,74.10197117,74.40142711,74.74341897,75.12348001,75.53778151,75.98304293,76.456453,76.95560854,77.47845336,78.02323581
15,0.02,$ billion (2018),73.53247244,74.29658735,75.12939576,76.02526263,76.97933831,77.98747624,79.04616003,80.15241827,81.30375541,82.49809024,83.73369986,85.009179,86.32339748
15,0.03,$ billion (2018),73.55270816,74.9393845,76.41222421,77.96718151,79.600873,81.31052527,83.09390847,84.94928093,86.87532822,88.87111562,90.9360473,93.06982924,95.27244388
15,0.04,$ billion (2018),73.57622328,75.58108742,77.69884304,79.92744968,82.26544715,84.71192113,87.26645802,89.92910176,92.70030906,95.58091171,98.57208987,101.6753411,104.8924683
15,0.05,$ billion (2018),73.60343892,76.22218099,78.98953874,81.9060452,84.97277977,88.19134618,91.56384574,95.092845,98.78134538,102.6327556,106.6508754,110.8398703,115.2042696
20,0,$ billion (2018),95.43302092,94.63524358,93.93749384,93.32684334,92.79203262,92.32332644,91.91234258,91.55187124,91.23571812,90.95855604,90.7158015,90.50350812,90.3182727
20,0.01,$ billion (2018),95.4620963,95.45575591,95.54522899,95.71946325,95.96880845,96.28490523,96.6605514,97.08954845,97.56658145,98.08708205,98.64713554,99.24338582,99.8729593
20,0.02,$ billion (2018),95.4957517,96.27494788,97.15738894,98.13394478,99.19666154,100.3386837,101.5541429,102.838048,104.1861707,105.5949463,107.0613864,108.5830063,110.1577605
20,0.03,$ billion (2018),95.53458968,97.09342617,98.77423214,100.5700406,102.47488,104.48372,106.5923909,108.7974952,111.0963163,113.4867384,115.9671786,118.536524,121.1940802
20,0.04,$ billion (2018),95.57922074,97.91191663,100.3962452,103.0278278,105.8031404,108.7194862,111.7749352,114.9682669,118.2988875,121.7667723,125.3724109,129.1167571,133.0011917
20,0.05,$ billion (2018),95.6302449,98.73126411,102.0241822,105.5077918,109.1816503,113.0460659,117.1020716,121.3513607,125.7962464,130.4396024,135.2848134,140.3357516,145.5967342
25,0,$ billion (2018),116.3839636,115.2535879,114.2636199,113.3963459,112.6361716,111.9695137,111.3846183,110.8713465,110.4209694,110.0259663,109.6798579,109.3770581,109.1127445
25,0.01,$ billion (2018),116.4321673,116.2376872,116.1769435,116.2346643,116.3973658,116.6532794,116.9922107,117.4053699,117.8851859,118.4251521,119.0196733,119.6639425,120.3538343
25,0.02,$ billion (2018),116.4875162,117.2215399,118.0957554,119.0973658,120.2150741,121.4390482,122.7608184,124.1731325,125.6698058,127.2455971,128.8960755,130.6175156,132.4068134
25,0.03,$ billion (2018),116.5508265,118.2060942,120.020699,121.9845521,124.0888215,126.3259349,128.6895016,131.1741993,133.7756627,136.490368,139.3155316,142.2490202,145.2892843
25,0.04,$ billion (2018),116.6228937,119.1924278,121.9527169,124.896783,128.0187206,131.3137107,134.7779787,138.4087035,142.2039316,146.1624809,150.2838614,154.5681999,159.016184
25,0.05,$ billion (2018),116.7044373,120.1817536,123.8931045,127.8352026,132.0056779,136.4031268,141.0270734,145.8779137,150.9568319,156.2657398,161.807191,167.5843269,173.600821
30,0,$ billion (2018),136.4670485,134.9868193,133.6885927,132.5500848,131.5513976,130.6750469,129.9058144,129.2305229,128.6377906,128.1178006,127.6620749,127.2633006,126.9151484
30,0.01,$ billion (2018),136.5389459,136.1260294,135.8860162,135.7995711,135.8493781,136.0201865,136.2987097,136.6734388,137.1344344,137.6731346,138.2821643,138.9551737,139.6866971
30,0.02,$ billion (2018),136.6209289,137.2665778,138.0903424,139.0758599,140.2084638,141.4752546,142.8650313,144.3681471,145.9763383,147.6825578,149.480817,151.3660497,153.3339894
30,0.03,$ billion (2018),136.7140062,138.4097598,140.3026428,142.3794836,144.6285244,147.0395252,149.6037115,152.3136873,155.1632706,158.1473761,161.2618735,164.5034759,167.8696363
30,0.04,$ billion (2018),136.8191183,139.5570179,142.5243734,145.7115923,149.1102571,152.7132441,156.5147268,160.5100696,164.6957473,169.0692055,173.6287655,178.3735236,183.3032769
30,0.05,$ billion (2018),136.937009,140.709872,144.7573804,149.0740578,153.6553985,158.498025,163.5996433,168.9590649,174.5760265,180.4511881,186.5859498,192.9823945,199.6432691
35,0,$ billion (2018),155.7715047,153.9320162,152.3161209,150.8974012,149.6518657,148.5582173,147.5977843,146.7543288,146.0137805,145.3639678,144.7943686,144.2958848,143.8606392
35,0.01,$ billion (2018),155.8712335,155.2193869,154.7796924,154.529124,154.446708,154.5137666,154.7139186,155.0329032,155.4583642,155.9796322,156.587487,157.273981,158.0322632
35,0.02,$ billion (2018),155.9842777,156.5100983,157.2518817,158.1900112,159.3065848,160.5856653,162.0132993,163.5773966,165.2675467,167.0748288,168.9916327,171.0114785,173.1288791
35,0.03,$ billion (2018),156.111822,157.805802,159.7342334,161.881108,164.2318247,166.7734688,169.4948426,172.3863795,175.4400033,178.6489727,182.0077109,185.5116882,189.1572742
35,0.04,$ billion (2018),156.254882,159.1082761,162.2287264,165.6042021,169.2237932,173.0780207,177.1589077,181.4598785,185.9756869,190.7022752,195.636641,200.7767045,206.1212279
35,0.05,$ billion (2018),156.4140763,160.4192316,164.7377073,169.3619068,174.285142,179.5019057,185.0079619,190.8002929,196.8770272,203.2373008,209.8811705,216.8094843,224.0238089
40,0,$ billion (2018),174.3692206,172.1664679,170.2280707,168.5240436,167.0266405,165.7109251,164.5548722,163.5392142,162.6472012,161.8643013,161.1779286,160.5771759,160.0525906
40,0.01,$ billion (2018),174.5004756,173.596071,172.9423471,172.5130999,172.2839744,172.2330346,172.3408733,172.5905001,172.9671434,173.4580054,174.0520025,174.7395662,175.5124148
40,0.02,$ billion (2018),174.6485242,175.0313724,175.6672199,176.5336456,177.6097488,178.8766815,180.3177927,181.9185528,183.6663949,185.5505033,187.5615938,189.6917594,191.9342417
40,0.03,$ billion (2018),174.8146731,176.474364,178.4047234,180.5872887,183.004813,185.6417933,188.4846182,191.5215508,194.7425774,198.139254,201.7045135,205.4325143,209.3184963
40,0.04,$ billion (2018),174.9999258,177.9270872,181.1573411,184.6764877,188.4712754,192.5299057,196.8422072,201.3996345,206.1951588,211.2231255,216.4791152,221.959799,227.6628162
40,0.05,$ billion (2018),175.2045366,179.3912944,183.9277817,188.8045128,194.0126519,199.544568,205.3939568,211.555902,218.0267678,224.8040863,231.8864085,239.2731826,246.9647204
45,0,$ billion (2018),192.3195624,189.7532484,187.4906897,185.4989887,183.747035,182.2064998,180.8521336,179.6617299,178.6158943,177.6977579,176.8926755,176.1879284,175.572482
45,0.01,$ billion (2018),192.4856469,191.3198813,190.4421035,189.8234937,189.4366891,189.2566942,189.2611981,189.4305523,189.7476034,190.1974331,190.767106,191.4454131,192.2226487
45,0.02,$ billion (2018),192.6721796,192.8948595,193.4063071,194.1817931,195.1977363,196.4325563,197.8670206,199.4841986,201.2693997,203.2099034,205.2947736,207.5146179,209.8614218
45,0.03,$ billion (2018),192.8805461,194.4804971,196.3858339,198.5760762,201.031601,203.7344651,206.6687347,209.8205212,213.1778893,216.7306666,220.4702824,224.3895638,228.4825648
45,0.04,$ billion (2018),193.1115922,196.0789778,199.3835867,203.0094367,206.941142,211.1646833,215.6677628,220.4398477,225.4721066,230.7572595,236.2894251,242.063979,248.0773853
45,0.05,$ billion (2018),193.3649411,197.6918426,202.4024368,207.4856253,212.930593,218.7276271,224.8683415,231.3458891,238.1548102,245.2909304,252.7512553,260.5338595,268.6375404
50,0,$ billion (2018),209.6726218,206.7449158,204.1587495,201.8789264,199.8714109,198.1047444,196.5506321,195.1840272,193.9829615,192.9282643,192.0032503,191.1934081,190.4861159
