category,question,country,firm_type,n,value,readable,units
owner_characteristics,age,DRC,informal,null,37,Owner's age,abs
owner_characteristics,age,Ghana,informal,null,34,Owner's age,abs
owner_characteristics,age,Kenya,informal,null,34,Owner's age,abs
owner_characteristics,age,Myanmar,informal,null,42,Owner's age,abs
owner_characteristics,age,Rwanda,informal,null,34,Owner's age,abs
owner_characteristics,experience,DRC,informal,null,7,Owner's or manager's years of experience in the sector,abs
owner_characteristics,experience,Ghana,informal,null,6.5,Owner's or manager's years of experience in the sector,abs
owner_characteristics,experience,Kenya,informal,null,6,Owner's or manager's years of experience in the sector,abs
owner_characteristics,experience,Myanmar,informal,null,10,Owner's or manager's years of experience in the sector,abs
owner_characteristics,experience,Rwanda,informal,null,5,Owner's or manager's years of experience in the sector,abs
owner_characteristics,owner_university,DRC,informal,null,0.246,Owner or manager attended university,percent
owner_characteristics,owner_university,Ghana,informal,null,0.043,Owner or manager attended university,percent
owner_characteristics,owner_university,Kenya,informal,null,0.025,Owner or manager attended university,percent
owner_characteristics,owner_university,Myanmar,informal,null,0.337,Owner or manager attended university,percent
owner_characteristics,owner_university,Rwanda,informal,null,0.025,Owner or manager attended university,percent
owner_characteristics,parent_university,DRC,informal,null,0.191,Owner's or manager's parent attended university,percent
owner_characteristics,parent_university,Ghana,informal,null,0.056,Owner's or manager's parent attended university,percent
owner_characteristics,parent_university,Kenya,informal,null,0.024,Owner's or manager's parent attended university,percent
owner_characteristics,parent_university,Myanmar,informal,null,0.041,Owner's or manager's parent attended university,percent
owner_characteristics,parent_university,Rwanda,informal,null,0.009,Owner's or manager's parent attended university,percent
owner_characteristics,parent_business,DRC,informal,null,0.236,Owner's or manager's parent owns a business,percent
owner_characteristics,parent_business,Ghana,informal,null,0.478,Owner's or manager's parent owns a business,percent
owner_characteristics,parent_business,Kenya,informal,null,0.419,Owner's or manager's parent owns a business,percent
owner_characteristics,parent_business,Myanmar,informal,null,0.258,Owner's or manager's parent owns a business,percent
owner_characteristics,parent_business,Rwanda,informal,null,0.32,Owner's or manager's parent owns a business,percent
owner_characteristics,female_owned,DRC,informal,null,0.229,Firm is majority female owned,percent
owner_characteristics,female_owned,Ghana,informal,null,0.628,Firm is majority female owned,percent
owner_characteristics,female_owned,Kenya,informal,null,0.389,Firm is majority female owned,percent
owner_characteristics,female_owned,Myanmar,informal,null,0.336,Firm is majority female owned,percent
owner_characteristics,female_owned,Rwanda,informal,null,0.346,Firm is majority female owned,percent
