code,country,domain,value,readable
AFG,Afghanistan,environment,47.01,Environmental stewardship
AFG,Afghanistan,gender_equity,45.3,Gender equity
AFG,Afghanistan,good_governance,37.74,Good governance
AFG,Afghanistan,human_rights,38.98,Human rights
AFG,Afghanistan,peace,44.64,Global peace and justice
AFG,Afghanistan,poverty_reduction,39.49,Poverty reduction
ALB,Albania,environment,59.94,Environmental stewardship
ALB,Albania,gender_equity,75.27,Gender equity
ALB,Albania,good_governance,58.56,Good governance
ALB,Albania,human_rights,60.66,Human rights
ALB,Albania,peace,67.69,Global peace and justice
ALB,Albania,poverty_reduction,62.73,Poverty reduction
ARG,Argentina,environment,59.71,Environmental stewardship
ARG,Argentina,gender_equity,80.04,Gender equity
ARG,Argentina,good_governance,61.57,Good governance
ARG,Argentina,human_rights,77.13,Human rights
ARG,Argentina,peace,64.24,Global peace and justice
ARG,Argentina,poverty_reduction,68,Poverty reduction
AUS,Australia,environment,80,Environmental stewardship
AUS,Australia,gender_equity,60,Gender equity
AUS,Australia,good_governance,40,Good governance
AUS,Australia,human_rights,20,Human rights
AUS,Australia,peace,0,Global peace and justice
AUS,Australia,poverty_reduction,0,Poverty reduction
BGD,Bangladesh,environment,54.78,Environmental stewardship
BGD,Bangladesh,gender_equity,66.74,Gender equity
BGD,Bangladesh,good_governance,52.01,Good governance
BGD,Bangladesh,human_rights,44.55,Human rights
BGD,Bangladesh,peace,57.3,Global peace and justice
BGD,Bangladesh,poverty_reduction,47.59,Poverty reduction
BRA,Brazil,environment,60.96,Environmental stewardship
BRA,Brazil,gender_equity,71.99,Gender equity
BRA,Brazil,good_governance,65.69,Good governance
BRA,Brazil,human_rights,74.64,Human rights
BRA,Brazil,peace,66.52,Global peace and justice
BRA,Brazil,poverty_reduction,64.29,Poverty reduction
CAN,Canada,environment,71.11,Environmental stewardship
CAN,Canada,gender_equity,80.97,Gender equity
CAN,Canada,good_governance,78.69,Good governance
CAN,Canada,human_rights,82.99,Human rights
CAN,Canada,peace,79.22,Global peace and justice
CAN,Canada,poverty_reduction,74.24,Poverty reduction
CHL,Chile,environment,61.43,Environmental stewardship
CHL,Chile,gender_equity,74.09,Gender equity
CHL,Chile,good_governance,73.17,Good governance
CHL,Chile,human_rights,79.26,Human rights
CHL,Chile,peace,67.07,Global peace and justice
CHL,Chile,poverty_reduction,62.2,Poverty reduction
CHN,China,environment,51.93,Environmental stewardship
CHN,China,gender_equity,67.29,Gender equity
CHN,China,good_governance,43.18,Good governance
CHN,China,human_rights,32.4,Human rights
CHN,China,peace,50.65,Global peace and justice
CHN,China,poverty_reduction,55.19,Poverty reduction
CRI,Costa Rica,environment,68.75,Environmental stewardship
CRI,Costa Rica,gender_equity,77.78,Gender equity
CRI,Costa Rica,good_governance,66.23,Good governance
CRI,Costa Rica,human_rights,78.98,Human rights
CRI,Costa Rica,peace,68.31,Global peace and justice
CRI,Costa Rica,poverty_reduction,57.62,Poverty reduction
DNK,Denmark,environment,68.65,Environmental stewardship
DNK,Denmark,gender_equity,89.63,Gender equity
DNK,Denmark,good_governance,80.26,Good governance
DNK,Denmark,human_rights,90.68,Human rights
DNK,Denmark,peace,84.79,Global peace and justice
DNK,Denmark,poverty_reduction,80.32,Poverty reduction
EGY,Egypt,environment,57.99,Environmental stewardship
EGY,Egypt,gender_equity,55.3,Gender equity
EGY,Egypt,good_governance,39.45,Good governance
EGY,Egypt,human_rights,31.66,Human rights
EGY,Egypt,peace,49.41,Global peace and justice
EGY,Egypt,poverty_reduction,54.92,Poverty reduction
FRA,France,environment,64.74,Environmental stewardship
FRA,France,gender_equity,87.31,Gender equity
FRA,France,good_governance,76.24,Good governance
FRA,France,human_rights,86.85,Human rights
FRA,France,peace,69.14,Global peace and justice
FRA,France,poverty_reduction,76.43,Poverty reduction
DEU,Germany,environment,65.32,Environmental stewardship
DEU,Germany,gender_equity,84.41,Gender equity
DEU,Germany,good_governance,76.77,Good governance
DEU,Germany,human_rights,83.88,Human rights
DEU,Germany,peace,80.13,Global peace and justice
DEU,Germany,poverty_reduction,77.99,Poverty reduction
GHA,Ghana,environment,55.09,Environmental stewardship
GHA,Ghana,gender_equity,68.05,Gender equity
GHA,Ghana,good_governance,60.09,Good governance
GHA,Ghana,human_rights,62.44,Human rights
GHA,Ghana,peace,67.13,Global peace and justice
GHA,Ghana,poverty_reduction,51.58,Poverty reduction
IND,India,environment,56.45,Environmental stewardship
IND,India,gender_equity,67.4,Gender equity
IND,India,good_governance,55.62,Good governance
IND,India,human_rights,59.37,Human rights
IND,India,peace,44.75,Global peace and justice
IND,India,poverty_reduction,44.87,Poverty reduction
IDN,Indonesia,environment,63.57,Environmental stewardship
IDN,Indonesia,gender_equity,63.13,Gender equity
IDN,Indonesia,good_governance,59.04,Good governance
IDN,Indonesia,human_rights,49.61,Human rights
IDN,Indonesia,peace,53.47,Global peace and justice
IDN,Indonesia,poverty_reduction,53.78,Poverty reduction
IRN,Iran,environment,50.96,Environmental stewardship
IRN,Iran,gender_equity,48.29,Gender equity
IRN,Iran,good_governance,31.5,Good governance
IRN,Iran,human_rights,31.26,Human rights
IRN,Iran,peace,49.26,Global peace and justice
IRN,Iran,poverty_reduction,51.4,Poverty reduction
IRL,Ireland,environment,66.12,Environmental stewardship
IRL,Ireland,gender_equity,80.49,Gender equity
IRL,Ireland,good_governance,74.14,Good governance
IRL,Ireland,human_rights,79.72,Human rights
IRL,Ireland,peace,81.15,Global peace and justice
IRL,Ireland,poverty_reduction,73.56,Poverty reduction
ISR,Israel,environment,52.4,Environmental stewardship
ISR,Israel,gender_equity,78.45,Gender equity
ISR,Israel,good_governance,62.83,Good governance
ISR,Israel,human_rights,67.21,Human rights
ISR,Israel,peace,42.47,Global peace and justice
ISR,Israel,poverty_reduction,64.67,Poverty reduction
JPN,Japan,environment,63.53,Environmental stewardship
JPN,Japan,gender_equity,70.97,Gender equity
JPN,Japan,good_governance,67.92,Good governance
JPN,Japan,human_rights,75.67,Human rights
JPN,Japan,peace,75.74,Global peace and justice
JPN,Japan,poverty_reduction,69.03,Poverty reduction
JOR,Jordan,environment,53.69,Environmental stewardship
JOR,Jordan,gender_equity,62.08,Gender equity
JOR,Jordan,good_governance,50.58,Good governance
JOR,Jordan,human_rights,45.65,Human rights
JOR,Jordan,peace,57.75,Global peace and justice
JOR,Jordan,poverty_reduction,59.83,Poverty reduction
KEN,Kenya,environment,62.84,Environmental stewardship
KEN,Kenya,gender_equity,58.06,Gender equity
KEN,Kenya,good_governance,55.28,Good governance
KEN,Kenya,human_rights,55.97,Human rights
KEN,Kenya,peace,54.43,Global peace and justice
KEN,Kenya,poverty_reduction,40.94,Poverty reduction
MDG,Madagascar,environment,60.57,Environmental stewardship
MDG,Madagascar,gender_equity,61.83,Gender equity
MDG,Madagascar,good_governance,46.51,Good governance
MDG,Madagascar,human_rights,51.54,Human rights
MDG,Madagascar,peace,59.23,Global peace and justice
MDG,Madagascar,poverty_reduction,42.28,Poverty reduction
MWI,Malawi,environment,60.66,Environmental stewardship
MWI,Malawi,gender_equity,60.77,Gender equity
MWI,Malawi,good_governance,46.94,Good governance
MWI,Malawi,human_rights,55.59,Human rights
MWI,Malawi,peace,59.98,Global peace and justice
MWI,Malawi,poverty_reduction,32.37,Poverty reduction
MYS,Malaysia,environment,61.25,Environmental stewardship
MYS,Malaysia,gender_equity,66.17,Gender equity
MYS,Malaysia,good_governance,58.18,Good governance
MYS,Malaysia,human_rights,34.36,Human rights
MYS,Malaysia,peace,63.41,Global peace and justice
MYS,Malaysia,poverty_reduction,52.69,Poverty reduction
MEX,Mexico,environment,62.88,Environmental stewardship
MEX,Mexico,gender_equity,78.64,Gender equity
MEX,Mexico,good_governance,63.58,Good governance
MEX,Mexico,human_rights,66.5,Human rights
MEX,Mexico,peace,66.56,Global peace and justice
MEX,Mexico,poverty_reduction,58.41,Poverty reduction
MAR,Morocco,environment,54.85,Environmental stewardship
MAR,Morocco,gender_equity,69.85,Gender equity
MAR,Morocco,good_governance,50.76,Good governance
MAR,Morocco,human_rights,45.55,Human rights
MAR,Morocco,peace,51.74,Global peace and justice
MAR,Morocco,poverty_reduction,51.47,Poverty reduction
NPL,Nepal,environment,60.87,Environmental stewardship
NPL,Nepal,gender_equity,66.24,Gender equity
NPL,Nepal,good_governance,47.64,Good governance
NPL,Nepal,human_rights,57.67,Human rights
NPL,Nepal,peace,47.15,Global peace and justice
NPL,Nepal,poverty_reduction,45.04,Poverty reduction
NIC,Nicaragua,environment,59.31,Environmental stewardship
NIC,Nicaragua,gender_equity,68.27,Gender equity
NIC,Nicaragua,good_governance,46.33,Good governance
NIC,Nicaragua,human_rights,49.41,Human rights
NIC,Nicaragua,peace,56.79,Global peace and justice
NIC,Nicaragua,poverty_reduction,51,Poverty reduction
NGA,Nigeria,environment,52.92,Environmental stewardship
NGA,Nigeria,gender_equity,61.57,Gender equity
NGA,Nigeria,good_governance,46.81,Good governance
NGA,Nigeria,human_rights,40.45,Human rights
NGA,Nigeria,peace,52.04,Global peace and justice
NGA,Nigeria,poverty_reduction,31.53,Poverty reduction
NOR,Norway,environment,67.72,Environmental stewardship
NOR,Norway,gender_equity,88.5,Gender equity
NOR,Norway,good_governance,84.16,Good governance
NOR,Norway,human_rights,91.54,Human rights
NOR,Norway,peace,75.7,Global peace and justice
NOR,Norway,poverty_reduction,81.51,Poverty reduction
PAK,Pakistan,environment,51.23,Environmental stewardship
PAK,Pakistan,gender_equity,56.88,Gender equity
PAK,Pakistan,good_governance,44.36,Good governance
PAK,Pakistan,human_rights,36.44,Human rights
PAK,Pakistan,peace,29.1,Global peace and justice
PAK,Pakistan,poverty_reduction,48,Poverty reduction
PER,Peru,environment,63.28,Environmental stewardship
PER,Peru,gender_equity,73.09,Gender equity
PER,Peru,good_governance,59.63,Good governance
PER,Peru,human_rights,67.73,Human rights
PER,Peru,peace,61.47,Global peace and justice
PER,Peru,poverty_reduction,57.31,Poverty reduction
PHL,Philippines,environment,69.13,Environmental stewardship
PHL,Philippines,gender_equity,73.34,Gender equity
PHL,Philippines,good_governance,60.44,Good governance
PHL,Philippines,human_rights,53.07,Human rights
PHL,Philippines,peace,56.87,Global peace and justice
PHL,Philippines,poverty_reduction,51.48,Poverty reduction
POL,Poland,environment,62.51,Environmental stewardship
POL,Poland,gender_equity,79.61,Gender equity
POL,Poland,good_governance,64.94,Good governance
POL,Poland,human_rights,74.65,Human rights
POL,Poland,peace,76.78,Global peace and justice
POL,Poland,poverty_reduction,64.22,Poverty reduction
KOR,Rep. of Korea,environment,53.32,Environmental stewardship
KOR,Rep. of Korea,gender_equity,79.64,Gender equity
KOR,Rep. of Korea,good_governance,70.52,Good governance
KOR,Rep. of Korea,human_rights,70.76,Human rights
KOR,Rep. of Korea,peace,67.71,Global peace and justice
KOR,Rep. of Korea,poverty_reduction,63.26,Poverty reduction
RUS,Russia,environment,55.55,Environmental stewardship
RUS,Russia,gender_equity,73.08,Gender equity
RUS,Russia,good_governance,48.94,Good governance
RUS,Russia,human_rights,41.97,Human rights
RUS,Russia,peace,43.15,Global peace and justice
RUS,Russia,poverty_reduction,64.51,Poverty reduction
SAU,Saudi Arabia,environment,49.8,Environmental stewardship
SAU,Saudi Arabia,gender_equity,47.3,Gender equity
SAU,Saudi Arabia,good_governance,36.28,Good governance
SAU,Saudi Arabia,human_rights,19.03,Human rights
SAU,Saudi Arabia,peace,46.02,Global peace and justice
SAU,Saudi Arabia,poverty_reduction,59.78,Poverty reduction
SRB,Serbia,environment,59.31,Environmental stewardship
SRB,Serbia,gender_equity,73.53,Gender equity
SRB,Serbia,good_governance,60.49,Good governance
SRB,Serbia,human_rights,66.73,Human rights
SRB,Serbia,peace,67.64,Global peace and justice
SRB,Serbia,poverty_reduction,61.91,Poverty reduction
SGP,Singapore,environment,52.77,Environmental stewardship
SGP,Singapore,gender_equity,70.34,Gender equity
SGP,Singapore,good_governance,66.77,Good governance
SGP,Singapore,human_rights,51.13,Human rights
SGP,Singapore,peace,63.81,Global peace and justice
SGP,Singapore,poverty_reduction,59.17,Poverty reduction
ZAF,South Africa,environment,58.22,Environmental stewardship
ZAF,South Africa,gender_equity,69.8,Gender equity
ZAF,South Africa,good_governance,68.37,Good governance
ZAF,South Africa,human_rights,67.67,Human rights
ZAF,South Africa,peace,60.8,Global peace and justice
ZAF,South Africa,poverty_reduction,55.29,Poverty reduction
SWE,Sweden,environment,67.26,Environmental stewardship
SWE,Sweden,gender_equity,87.36,Gender equity
SWE,Sweden,good_governance,82.87,Good governance
SWE,Sweden,human_rights,89.07,Human rights
SWE,Sweden,peace,81.28,Global peace and justice
SWE,Sweden,poverty_reduction,75.05,Poverty reduction
CHE,Switzerland,environment,68.24,Environmental stewardship
CHE,Switzerland,gender_equity,79.11,Gender equity
CHE,Switzerland,good_governance,74.96,Good governance
CHE,Switzerland,human_rights,82.09,Human rights
CHE,Switzerland,peace,82.04,Global peace and justice
CHE,Switzerland,poverty_reduction,76.93,Poverty reduction
TZA,Tanzania,environment,64.13,Environmental stewardship
TZA,Tanzania,gender_equity,66.15,Gender equity
TZA,Tanzania,good_governance,50.64,Good governance
TZA,Tanzania,human_rights,46.57,Human rights
TZA,Tanzania,peace,56.65,Global peace and justice
TZA,Tanzania,poverty_reduction,41.71,Poverty reduction
THA,Thailand,environment,57.72,Environmental stewardship
THA,Thailand,gender_equity,74.64,Gender equity
THA,Thailand,good_governance,53.69,Good governance
THA,Thailand,human_rights,51.62,Human rights
THA,Thailand,peace,52.31,Global peace and justice
THA,Thailand,poverty_reduction,56.55,Poverty reduction
TUR,Turkey,environment,56.58,Environmental stewardship
TUR,Turkey,gender_equity,70.47,Gender equity
TUR,Turkey,good_governance,50.64,Good governance
TUR,Turkey,human_rights,52.51,Human rights
TUR,Turkey,peace,56.58,Global peace and justice
TUR,Turkey,poverty_reduction,63.85,Poverty reduction
UGA,Uganda,environment,66.12,Environmental stewardship
UGA,Uganda,gender_equity,58.63,Gender equity
UGA,Uganda,good_governance,51.86,Good governance
UGA,Uganda,human_rights,40.65,Human rights
UGA,Uganda,peace,55.04,Global peace and justice
UGA,Uganda,poverty_reduction,41.86,Poverty reduction
ARE,United Arab Emir.,environment,52.23,Environmental stewardship
ARE,United Arab Emir.,gender_equity,55.46,Gender equity
ARE,United Arab Emir.,good_governance,55.36,Good governance
ARE,United Arab Emir.,human_rights,32.99,Human rights
ARE,United Arab Emir.,peace,58.28,Global peace and justice
ARE,United Arab Emir.,poverty_reduction,61.65,Poverty reduction
GBR,United Kingdom,environment,64.02,Environmental stewardship
GBR,United Kingdom,gender_equity,83.91,Gender equity
GBR,United Kingdom,good_governance,78.42,Good governance
GBR,United Kingdom,human_rights,80.07,Human rights
GBR,United Kingdom,peace,73,Global peace and justice
GBR,United Kingdom,poverty_reduction,72.68,Poverty reduction
USA,United States,environment,54.17,Environmental stewardship
USA,United States,gender_equity,67.54,Gender equity
USA,United States,good_governance,74.32,Good governance
USA,United States,human_rights,65.16,Human rights
USA,United States,peace,60.14,Global peace and justice
USA,United States,poverty_reduction,70.56,Poverty reduction
VNM,Vietnam,environment,55.65,Environmental stewardship
VNM,Vietnam,gender_equity,70.65,Gender equity
VNM,Vietnam,good_governance,47.78,Good governance
VNM,Vietnam,human_rights,40.94,Human rights
VNM,Vietnam,peace,46.93,Global peace and justice
VNM,Vietnam,poverty_reduction,51.16,Poverty reduction
ZMB,Zambia,environment,60.08,Environmental stewardship
ZMB,Zambia,gender_equity,59.61,Gender equity
ZMB,Zambia,good_governance,49.4,Good governance
ZMB,Zambia,human_rights,49.02,Human rights
ZMB,Zambia,peace,58.72,Global peace and justice
ZMB,Zambia,poverty_reduction,32.89,Poverty reduction
