country,code,region,income_group,income_group_n
Afghanistan,AFG,South Asia,Low income,1
Albania,ALB,Europe & Central Asia,Upper middle income,3
Algeria,DZA,Middle East & North Africa,Upper middle income,3
American Samoa,ASM,East Asia & Pacific,Upper middle income,3
Andorra,ADO,Europe & Central Asia,High income,4
Angola,AGO,Sub-Saharan Africa,Upper middle income,3
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,4
Argentina,ARG,Latin America & Caribbean,Upper middle income,3
Armenia,ARM,Europe & Central Asia,Lower middle income,2
Aruba,ABW,Latin America & Caribbean,High income,4
Australia,AUS,East Asia & Pacific,High income,4
Austria,AUT,Europe & Central Asia,High income,4
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,3
"Bahamas, The",BHS,Latin America & Caribbean,High income,4
Bahrain,BHR,Middle East & North Africa,High income,4
Bangladesh,BGD,South Asia,Lower middle income,2
Barbados,BRB,Latin America & Caribbean,High income,4
Belarus,BLR,Europe & Central Asia,Upper middle income,3
Belgium,BEL,Europe & Central Asia,High income,4
Belize,BLZ,Latin America & Caribbean,Upper middle income,3
Benin,BEN,Sub-Saharan Africa,Low income,1
Bermuda,BMU,North America,High income,4
Bhutan,BTN,South Asia,Lower middle income,2
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3
Botswana,BWA,Sub-Saharan Africa,Upper middle income,3
Brazil,BRA,Latin America & Caribbean,Upper middle income,3
British Virgin Islands,VGB,Latin America & Caribbean,High income,4
Brunei Darussalam,BRN,East Asia & Pacific,High income,4
Bulgaria,BGR,Europe & Central Asia,Upper middle income,3
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1
Burundi,BDI,Sub-Saharan Africa,Low income,1
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2
Cambodia,KHM,East Asia & Pacific,Lower middle income,2
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2
Canada,CAN,North America,High income,4
Cayman Islands,CYM,Latin America & Caribbean,High income,4
Central African Republic,CAF,Sub-Saharan Africa,Low income,1
Chad,TCD,Sub-Saharan Africa,Low income,1
Channel Islands,CHI,Europe & Central Asia,High income,4
Chile,CHL,Latin America & Caribbean,High income,4
China,CHN,East Asia & Pacific,Upper middle income,3
Colombia,COL,Latin America & Caribbean,Upper middle income,3
Comoros,COM,Sub-Saharan Africa,Low income,1
"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,Low income,1
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,3
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2
Croatia,HRV,Europe & Central Asia,High income,4
Cuba,CUB,Latin America & Caribbean,Upper middle income,3
Curaçao,CUW,Latin America & Caribbean,High income,4
Cyprus,CYP,Europe & Central Asia,High income,4
Czech Republic,CZE,Europe & Central Asia,High income,4
Denmark,DNK,Europe & Central Asia,High income,4
Djibouti,DJI,Middle East & North Africa,Lower middle income,2
Dominica,DMA,Latin America & Caribbean,Upper middle income,3
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,3
